name,rest_type,rate,num_ratings,avg_cost,online_order,table_booking,cuisines,area,local_address,area_clean,is_quick_bites,is_casual_dining,is_cafe,is_delivery,is_dessert_parlor,is_bakery,is_beverage_shop,is_bar,is_food_court,is_fine_dining,is_lounge,is_mess,is_sweet_shop,is_pub,area_avg_rating,area_avg_cost,competition_density
Hotel Shri Raghavendra,Quick Bites,3.0,6,150,No,No,"South Indian, North Indian",Rajajinagar,Majestic,Rajajinagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4486486486486485,407.2972972972973,87
Hotel Shruthi,Quick Bites,3.5,13,200,Yes,No,"North Indian, Biryani",Electronic City,Electronic City,Electronic City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,188
Hotel Smile,Casual Dining,3.1,6,400,Yes,No,"North Indian, Chinese",Bannerghatta Road,Jayanagar,Bannerghatta Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.430072463768116,446.97463768115944,122
Hotel Tadaka House,Quick Bites,3.4,7,300,No,No,"North Indian, Chinese, Biryani",HSR,Bommanahalli,HSR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,104
Hotel Taj Delight,Casual Dining,3.2,17,600,Yes,No,"North Indian, Biryani, Arabian",Malleshwaram,New BEL Road,Malleshwaram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,100
Hotel Tanish,Quick Bites,3.6,13,250,Yes,No,South Indian,Bellandur,HSR,Bellandur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4759002770083103,542.7423822714682,118
Hotel Thalassery,Quick Bites,3.4,8,200,No,No,"Kerala, South Indian",Electronic City,Electronic City,Electronic City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,188
Hotel Thazooq,Quick Bites,3.3,6,350,No,No,"North Indian, Chinese, Biryani",HSR,Koramangala 1st Block,HSR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,104
Hotel The Nalanda,Casual Dining,3.2,4,700,No,No,"North Indian, South Indian",Electronic City,Electronic City,Electronic City,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,102
Hotel The Shack,Casual Dining,3.9,116,1000,Yes,No,"North Indian, Biryani",Kalyan Nagar,Rammurthy Nagar,Kalyan Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.49375,478.0729166666667,105
Hotel Tom's Restaurant,Casual Dining,4.0,69,1000,Yes,No,"Mangalorean, Seafood, Chinese, North Indian",Koramangala 5th Block,Koramangala 6th Block,Koramangala 5th Block,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5285714285714285,368.57142857142856,5
Hotel Triloka,Quick Bites,3.3,7,400,Yes,No,North Indian,Whitefield,Whitefield,Whitefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,91
Hotel Trupthi,Quick Bites,0.0,40,200,No,No,"South Indian, Chinese, North Indian",Basavanagudi,Basavanagudi,Basavanagudi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2523364485981308,395.0934579439252,110
Hotel Udipi Krishna,Quick Bites,2.8,40,100,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hotel Uma Bhai,Quick Bites,3.7,38,400,Yes,No,North Indian,Electronic City,Electronic City,Electronic City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3635235732009927,511.04218362282876,188
Hotel Uttam Sagar,Quick Bites,3.6,7,400,Yes,No,North Indian,Whitefield,Whitefield,Whitefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.512260536398468,694.4444444444445,91
Hotel Vaishali,Quick Bites,3.6,20,150,No,No,South Indian,Malleshwaram,Malleshwaram,Malleshwaram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629601990049751,576.6666666666666,163
Hotel Vinitha,Quick Bites,3.2,5,150,No,No,"South Indian, North Indian, Chinese",Brigade Road,Shivajinagar,Brigade Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6842672413793105,835.1077586206897,117
Hotel Zam Zam,Quick Bites,3.1,30,300,Yes,No,"North Indian, Chinese",Frazer Town,Hennur,Frazer Town,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5174603174603174,410.7142857142857,55
Hottey Smokey,Food Court,3.8,81,500,Yes,No,"Continental, Fast Food",Brookefield,"ITPL Main Road, Whitefield",Brookefield,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4454926624737947,526.8343815513626,16
House of Chaaps,Quick Bites,2.8,40,450,Yes,No,"North Indian, Rolls","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
House Of Combos,Delivery,2.8,40,600,Yes,No,"North Indian, Fast Food, Burger, Momos",Brookefield,Marathahalli,Brookefield,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4454926624737947,526.8343815513626,29
House Of Commons,Bar,4.7,3573,1000,No,Yes,"Continental, Asian, North Indian",HSR,HSR,HSR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,2
House Of Kebabs,Casual Dining,3.8,540,650,Yes,No,"North Indian, Kebab, Biryani, Chinese",Banashankari,Basavanagudi,Banashankari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5688022284122565,388.5487465181059,77
House Of Lassi,Beverage Shop,3.6,23,250,Yes,No,"Beverages, Fast Food","Byresandra,Tavarekere,Madiwala",Bommanahalli,Madiwala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,21
House of Mandarin,Quick Bites,3.3,4,300,No,No,Chinese,HSR,HSR,HSR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,104
House Of Seitan,Cafe,2.8,40,700,Yes,No,"Cafe, Healthy Food, Salad, Beverages",Indiranagar,Indiranagar,Indiranagar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5692307692307694,667.5824175824176,34
House of Tasty Food,Quick Bites,0.0,40,400,No,No,North Indian,Basavanagudi,Wilson Garden,Basavanagudi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2523364485981308,395.0934579439252,110
House of Torte,"Bakery, Cafe",3.8,60,450,Yes,No,"Bakery, Cafe, Burger, Fast Food",Marathahalli,Kaggadasapura,Marathahalli,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.4076923076923076,516.7307692307693,1
House Of Wholewheat,Bakery,3.1,6,200,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Madiwala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,11
House Stark Cafe,Cafe,3.9,44,300,Yes,No,"Cafe, Desserts, Fast Food, Burger","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,57
Howlin Wolf,Casual Dining,4.0,94,700,Yes,No,"Italian, Mediterranean, European, Sandwich",Koramangala 5th Block,HSR,Koramangala 5th Block,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5285714285714285,368.57142857142856,5
Howrah Bridge,Casual Dining,3.2,294,600,Yes,No,"Bengali, Seafood",Koramangala 6th Block,HSR,Koramangala 6th Block,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.356338028169014,380.28169014084506,6
HQ,"Casual Dining, Bar",4.1,460,1000,No,Yes,"North Indian, Italian, Finger Food, Continental",Brookefield,Whitefield,Brookefield,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.4454926624737947,526.8343815513626,8
HSR Agarval Bhavan,Casual Dining,3.2,68,400,Yes,No,"South Indian, Street Food, Fast Food, Desserts, Beverages","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,168
HSR High Street,Casual Dining,3.8,320,800,No,Yes,"Hyderabadi, North Indian, South Indian, Biryani",HSR,HSR,HSR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3763485477178423,456.05809128630705,39
HSR SLV Fast Food,Quick Bites,3.7,33,200,Yes,No,"South Indian, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Huko Mukho Hangla,Quick Bites,4.0,175,400,Yes,No,"Bengali, Seafood",Kalyan Nagar,Kammanahalli,Kalyan Nagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49375,478.0729166666667,161
Hum Biryani,Delivery,3.4,17,600,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,Madiwala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,50
Hunan,Casual Dining,4.0,820,1100,No,Yes,"Chinese, Thai, Momos",New BEL Road,New BEL Road,New BEL Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4773809523809525,438.0952380952381,34
Hunan Express,"Food Court, Quick Bites",3.8,72,550,No,No,Chinese,Whitefield,Whitefield,Whitefield,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.512260536398468,694.4444444444445,1
Hunan King's,Casual Dining,2.9,123,800,Yes,No,"Chinese, Thai, Momos",New BEL Road,Sahakara Nagar,New BEL Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4773809523809525,438.0952380952381,34
Hunger Bee,Quick Bites,3.8,54,500,Yes,No,"Biryani, North Indian, South Indian",Bannerghatta Road,Bannerghatta Road,Bannerghatta Road,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.430072463768116,446.97463768115944,227
Hunger Box,"Takeaway, Delivery",2.8,40,400,No,No,"North Indian, Chinese",Marathahalli,Marathahalli,Marathahalli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4076923076923076,516.7307692307693,10
Hunger Buds,Quick Bites,3.5,10,250,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM,Madiwala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5839598997493733,486.01503759398497,316
Hunger Camp,Casual Dining,4.6,311,1300,No,Yes,"North Indian, South Indian, Chinese, Seafood",Bannerghatta Road,JP Nagar,Bannerghatta Road,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.430072463768116,446.97463768115944,122
